sample population group sex
HG00382_2 FIN FIN 1
HG00383_1 FIN FIN 1
HG00383_2 FIN FIN 1
HG00384_1 FIN FIN 1
HG00384_2 FIN FIN 1
HG00403_1 CHS CHS 1
HG00403_2 CHS CHS 1
HG00404_1 CHS CHS 1
HG00404_2 CHS CHS 1
HG00405_1 CHS CHS 1
HG00405_2 CHS CHS 1
HG00406_1 CHS CHS 1
HG00406_2 CHS CHS 1
HG00407_1 CHS CHS 1
HG00407_2 CHS CHS 1
HG00408_1 CHS CHS 1
HG00408_2 CHS CHS 1
HG00409_1 CHS CHS 1
HG00409_2 CHS CHS 1
HG00410_1 CHS CHS 1
HG00410_2 CHS CHS 1
HG00418_1 CHS CHS 1
HG00418_2 CHS CHS 1
HG00419_1 CHS CHS 1
HG00419_2 CHS CHS 1
HG00420_1 CHS CHS 1
HG00420_2 CHS CHS 1
HG00421_1 CHS CHS 1
HG00421_2 CHS CHS 1
HG00422_1 CHS CHS 1
HG00422_2 CHS CHS 1
HG00423_1 CHS CHS 1
HG00423_2 CHS CHS 1
HG00427_1 CHS CHS 1
HG00427_2 CHS CHS 1
HG00428_1 CHS CHS 1
HG00428_2 CHS CHS 1
HG00429_1 CHS CHS 1
HG00429_2 CHS CHS 1
HG00436_1 CHS CHS 1
HG00436_2 CHS CHS 1
HG00437_1 CHS CHS 1
HG00437_2 CHS CHS 1
HG00438_1 CHS CHS 1
HG00438_2 CHS CHS 1
HG00442_1 CHS CHS 1
HG00442_2 CHS CHS 1
HG00443_1 CHS CHS 1
HG00443_2 CHS CHS 1
HG00444_1 CHS CHS 1
HG00444_2 CHS CHS 1
HG00445_1 CHS CHS 1
HG00445_2 CHS CHS 1
HG00446_1 CHS CHS 1
HG00446_2 CHS CHS 1
HG00447_1 CHS CHS 1
HG00447_2 CHS CHS 1
HG00448_1 CHS CHS 1
HG00448_2 CHS CHS 1
HG00449_1 CHS CHS 1
HG00449_2 CHS CHS 1
HG00450_1 CHS CHS 1
HG00450_2 CHS CHS 1
HG00451_1 CHS CHS 1
HG00451_2 CHS CHS 1
HG00452_1 CHS CHS 1
HG00452_2 CHS CHS 1
HG00453_1 CHS CHS 1
HG00453_2 CHS CHS 1
HG00457_1 CHS CHS 1
HG00457_2 CHS CHS 1
HG00458_1 CHS CHS 1
HG00458_2 CHS CHS 1
HG00459_1 CHS CHS 1
