sample population group sex
HG01915_1 ACB ACB 1
HG01915_2 ACB ACB 1
HG01916_1 ACB ACB 1
HG01916_2 ACB ACB 1
HG01917_1 PEL PEL 1
HG01917_2 PEL PEL 1
HG01918_1 PEL PEL 1
HG01918_2 PEL PEL 1
HG01919_1 PEL PEL 1
HG01919_2 PEL PEL 1
HG01920_1 PEL PEL 1
HG01920_2 PEL PEL 1
HG01921_1 PEL PEL 1
HG01921_2 PEL PEL 1
HG01922_1 PEL PEL 1
HG01922_2 PEL PEL 1
HG01923_1 PEL PEL 1
HG01923_2 PEL PEL 1
HG01924_1 PEL PEL 1
HG01924_2 PEL PEL 1
HG01925_1 PEL PEL 1
HG01925_2 PEL PEL 1
HG01926_1 PEL PEL 1
HG01926_2 PEL PEL 1
HG01927_1 PEL PEL 1
HG01927_2 PEL PEL 1
HG01928_1 PEL PEL 1
HG01928_2 PEL PEL 1
HG01932_1 PEL PEL 1
HG01932_2 PEL PEL 1
HG01933_1 PEL PEL 1
HG01933_2 PEL PEL 1
HG01934_1 PEL PEL 1
HG01934_2 PEL PEL 1
HG01935_1 PEL PEL 1
HG01935_2 PEL PEL 1
HG01936_1 PEL PEL 1
HG01936_2 PEL PEL 1
HG01937_1 PEL PEL 1
HG01937_2 PEL PEL 1
HG01938_1 PEL PEL 1
HG01938_2 PEL PEL 1
HG01939_1 PEL PEL 1
HG01939_2 PEL PEL 1
HG01940_1 PEL PEL 1
HG01940_2 PEL PEL 1
HG01941_1 PEL PEL 1
HG01941_2 PEL PEL 1
HG01942_1 PEL PEL 1
HG01942_2 PEL PEL 1
HG01943_1 PEL PEL 1
HG01943_2 PEL PEL 1
HG01944_1 PEL PEL 1
HG01944_2 PEL PEL 1
HG01945_1 PEL PEL 1
HG01945_2 PEL PEL 1
HG01946_1 PEL PEL 1
HG01946_2 PEL PEL 1
HG01947_1 PEL PEL 1
HG01947_2 PEL PEL 1
HG01948_1 PEL PEL 1
HG01948_2 PEL PEL 1
HG01949_1 PEL PEL 1
HG01949_2 PEL PEL 1
HG01950_1 PEL PEL 1
HG01950_2 PEL PEL 1
HG01951_1 PEL PEL 1
HG01951_2 PEL PEL 1
HG01952_1 PEL PEL 1
HG01952_2 PEL PEL 1
HG01953_1 PEL PEL 1
HG01953_2 PEL PEL 1
HG01954_1 PEL PEL 1
HG01954_2 PEL PEL 1
HG01955_1 PEL PEL 1
HG01955_2 PEL PEL 1
HG01956_1 ACB ACB 1
HG01956_2 ACB ACB 1
HG01958_1 ACB ACB 1
HG01958_2 ACB ACB 1
HG01959_1 ACB ACB 1
HG01959_2 ACB ACB 1
HG01960_1 ACB ACB 1
HG01960_2 ACB ACB 1
HG01961_1 PEL PEL 1
HG01961_2 PEL PEL 1
HG01965_1 PEL PEL 1
HG01965_2 PEL PEL 1
HG01967_1 PEL PEL 1
HG01967_2 PEL PEL 1
HG01968_1 PEL PEL 1
HG01968_2 PEL PEL 1
HG01969_1 PEL PEL 1
HG01969_2 PEL PEL 1
HG01970_1 PEL PEL 1
HG01970_2 PEL PEL 1
HG01971_1 PEL PEL 1
HG01971_2 PEL PEL 1
HG01972_1 PEL PEL 1
HG01972_2 PEL PEL 1
HG01973_1 PEL PEL 1
HG01973_2 PEL PEL 1
HG01974_1 PEL PEL 1
HG01974_2 PEL PEL 1
HG01975_1 PEL PEL 1
HG01975_2 PEL PEL 1
HG01976_1 PEL PEL 1
HG01976_2 PEL PEL 1
HG01977_1 PEL PEL 1
HG01977_2 PEL PEL 1
HG01978_1 PEL PEL 1
HG01978_2 PEL PEL 1
HG01979_1 PEL PEL 1
HG01979_2 PEL PEL 1
HG01980_1 PEL PEL 1
HG01980_2 PEL PEL 1
HG01981_1 PEL PEL 1
HG01981_2 PEL PEL 1
HG01982_1 PEL PEL 1
HG01982_2 PEL PEL 1
HG01983_1 PEL PEL 1
HG01983_2 PEL PEL 1
HG01984_1 PEL PEL 1
HG01984_2 PEL PEL 1
HG01985_1 ACB ACB 1
HG01985_2 ACB ACB 1
HG01986_1 ACB ACB 1
HG01986_2 ACB ACB 1
HG01987_1 ACB ACB 1
HG01987_2 ACB ACB 1
HG01988_1 ACB ACB 1
HG01988_2 ACB ACB 1
HG01989_1 ACB ACB 1
HG01989_2 ACB ACB 1
HG01990_1 ACB ACB 1
HG01990_2 ACB ACB 1
HG01991_1 PEL PEL 1
HG01991_2 PEL PEL 1
HG01992_1 PEL PEL 1
HG01992_2 PEL PEL 1
HG01993_1 PEL PEL 1
HG01993_2 PEL PEL 1
HG01997_1 PEL PEL 1
HG01997_2 PEL PEL 1
HG01998_1 PEL PEL 1
HG01998_2 PEL PEL 1
HG02002_1 PEL PEL 1
HG02002_2 PEL PEL 1
HG02003_1 PEL PEL 1
HG02003_2 PEL PEL 1
HG02004_1 PEL PEL 1
HG02004_2 PEL PEL 1
HG02006_1 PEL PEL 1
HG02006_2 PEL PEL 1
HG02008_1 PEL PEL 1
HG02008_2 PEL PEL 1
HG02009_1 ACB ACB 1
HG02009_2 ACB ACB 1
HG02010_1 ACB ACB 1
HG02010_2 ACB ACB 1
HG02011_1 ACB ACB 1
HG02011_2 ACB ACB 1
HG02012_1 ACB ACB 1
HG02012_2 ACB ACB 1
HG02013_1 ACB ACB 1
HG02013_2 ACB ACB 1
HG02014_1 ACB ACB 1
HG02014_2 ACB ACB 1
HG02015_1 KHV KHV 1
HG02015_2 KHV KHV 1
HG02016_1 KHV KHV 1
HG02016_2 KHV KHV 1
HG02017_1 KHV KHV 1
HG02017_2 KHV KHV 1
HG02018_1 KHV KHV 1
HG02018_2 KHV KHV 1
HG02019_1 KHV KHV 1
HG02019_2 KHV KHV 1
HG02020_1 KHV KHV 1
HG02020_2 KHV KHV 1
HG02023_1 KHV KHV 1
HG02023_2 KHV KHV 1
HG02024_1 KHV KHV 1
HG02024_2 KHV KHV 1
HG02025_1 KHV KHV 1
HG02025_2 KHV KHV 1
HG02026_1 KHV KHV 1
HG02026_2 KHV KHV 1
HG02027_1 KHV KHV 1
HG02027_2 KHV KHV 1
HG02028_1 KHV KHV 1
HG02028_2 KHV KHV 1
HG02029_1 KHV KHV 1
HG02029_2 KHV KHV 1
HG02030_1 KHV KHV 1
HG02030_2 KHV KHV 1
HG02031_1 KHV KHV 1
HG02031_2 KHV KHV 1
HG02032_1 KHV KHV 1
HG02032_2 KHV KHV 1
HG02035_1 KHV KHV 1
HG02035_2 KHV KHV 1
HG02040_1 KHV KHV 1
HG02040_2 KHV KHV 1
HG02047_1 KHV KHV 1
HG02047_2 KHV KHV 1
HG02048_1 KHV KHV 1
HG02048_2 KHV KHV 1
HG02049_1 KHV KHV 1
HG02049_2 KHV KHV 1
HG02050_1 KHV KHV 1
HG02050_2 KHV KHV 1
HG02051_1 ACB ACB 1
HG02051_2 ACB ACB 1
HG02052_1 ACB ACB 1
HG02052_2 ACB ACB 1
HG02053_1 ACB ACB 1
HG02053_2 ACB ACB 1
HG02054_1 ACB ACB 1
HG02054_2 ACB ACB 1
HG02055_1 ACB ACB 1
HG02055_2 ACB ACB 1
HG02056_1 KHV KHV 1
HG02056_2 KHV KHV 1
HG02057_1 KHV KHV 1
HG02057_2 KHV KHV 1
HG02058_1 KHV KHV 1
HG02058_2 KHV KHV 1
HG02059_1 KHV KHV 1
HG02059_2 KHV KHV 1
HG02060_1 KHV KHV 1
HG02060_2 KHV KHV 1
HG02061_1 KHV KHV 1
HG02061_2 KHV KHV 1
HG02064_1 KHV KHV 1
HG02064_2 KHV KHV 1
HG02067_1 KHV KHV 1
HG02067_2 KHV KHV 1
HG02068_1 KHV KHV 1
HG02068_2 KHV KHV 1
HG02069_1 KHV KHV 1
HG02069_2 KHV KHV 1
HG02070_1 KHV KHV 1
HG02070_2 KHV KHV 1
HG02071_1 KHV KHV 1
HG02071_2 KHV KHV 1
HG02072_1 KHV KHV 1
HG02072_2 KHV KHV 1
HG02073_1 KHV KHV 1
HG02073_2 KHV KHV 1
HG02074_1 KHV KHV 1
HG02074_2 KHV KHV 1
HG02075_1 KHV KHV 1
HG02075_2 KHV KHV 1
HG02076_1 KHV KHV 1
HG02076_2 KHV KHV 1
HG02077_1 KHV KHV 1
HG02077_2 KHV KHV 1
HG02078_1 KHV KHV 1
HG02078_2 KHV KHV 1
HG02079_1 KHV KHV 1
HG02079_2 KHV KHV 1
HG02080_1 KHV KHV 1
HG02080_2 KHV KHV 1
HG02081_1 KHV KHV 1
HG02081_2 KHV KHV 1
HG02082_1 KHV KHV 1
HG02082_2 KHV KHV 1
HG02083_1 KHV KHV 1
HG02083_2 KHV KHV 1
HG02084_1 KHV KHV 1
HG02084_2 KHV KHV 1
HG02085_1 KHV KHV 1
HG02085_2 KHV KHV 1
HG02086_1 KHV KHV 1
HG02086_2 KHV KHV 1
HG02087_1 KHV KHV 1
HG02087_2 KHV KHV 1
HG02088_1 KHV KHV 1
HG02088_2 KHV KHV 1
HG02089_1 PEL PEL 1
HG02089_2 PEL PEL 1
HG02090_1 PEL PEL 1
HG02090_2 PEL PEL 1
HG02091_1 PEL PEL 1
HG02091_2 PEL PEL 1
HG02095_1 ACB ACB 1
HG02095_2 ACB ACB 1
HG02102_1 PEL PEL 1
HG02102_2 PEL PEL 1
HG02104_1 PEL PEL 1
HG02104_2 PEL PEL 1
HG02105_1 PEL PEL 1
HG02105_2 PEL PEL 1
HG02106_1 PEL PEL 1
HG02106_2 PEL PEL 1
HG02107_1 ACB ACB 1
HG02107_2 ACB ACB 1
HG02108_1 ACB ACB 1
HG02108_2 ACB ACB 1
HG02111_1 ACB ACB 1
HG02111_2 ACB ACB 1
HG02113_1 KHV KHV 1
HG02113_2 KHV KHV 1
HG02116_1 KHV KHV 1
HG02116_2 KHV KHV 1
HG02120_1 KHV KHV 1
HG02120_2 KHV KHV 1
HG02121_1 KHV KHV 1
HG02121_2 KHV KHV 1
HG02122_1 KHV KHV 1
HG02122_2 KHV KHV 1
HG02126_1 KHV KHV 1
HG02126_2 KHV KHV 1
HG02127_1 KHV KHV 1
HG02127_2 KHV KHV 1
HG02128_1 KHV KHV 1
HG02128_2 KHV KHV 1
HG02129_1 KHV KHV 1
HG02129_2 KHV KHV 1
HG02130_1 KHV KHV 1
HG02130_2 KHV KHV 1
HG02131_1 KHV KHV 1
HG02131_2 KHV KHV 1
HG02132_1 KHV KHV 1
HG02132_2 KHV KHV 1
HG02133_1 KHV KHV 1
HG02133_2 KHV KHV 1
HG02134_1 KHV KHV 1
HG02134_2 KHV KHV 1
HG02135_1 KHV KHV 1
HG02135_2 KHV KHV 1
HG02136_1 KHV KHV 1
HG02136_2 KHV KHV 1
HG02137_1 KHV KHV 1
HG02137_2 KHV KHV 1
HG02138_1 KHV KHV 1
HG02138_2 KHV KHV 1
HG02139_1 KHV KHV 1
HG02139_2 KHV KHV 1
HG02140_1 KHV KHV 1
HG02140_2 KHV KHV 1
HG02141_1 KHV KHV 1
HG02141_2 KHV KHV 1
HG02142_1 KHV KHV 1
HG02142_2 KHV KHV 1
HG02143_1 ACB ACB 1
HG02143_2 ACB ACB 1
HG02144_1 ACB ACB 1
HG02144_2 ACB ACB 1
HG02145_1 ACB ACB 1
HG02145_2 ACB ACB 1
HG02146_1 PEL PEL 1
HG02146_2 PEL PEL 1
HG02147_1 PEL PEL 1
HG02147_2 PEL PEL 1
HG02148_1 PEL PEL 1
HG02148_2 PEL PEL 1
HG02150_1 PEL PEL 1
HG02150_2 PEL PEL 1
HG02151_1 CDX CDX 1
HG02151_2 CDX CDX 1
HG02152_1 CDX CDX 1
HG02152_2 CDX CDX 1
HG02153_1 CDX CDX 1
HG02153_2 CDX CDX 1
HG02154_1 CDX CDX 1
HG02154_2 CDX CDX 1
HG02155_1 CDX CDX 1
HG02155_2 CDX CDX 1
HG02156_1 CDX CDX 1
HG02156_2 CDX CDX 1
HG02164_1 CDX CDX 1
HG02164_2 CDX CDX 1
HG02165_1 CDX CDX 1
HG02165_2 CDX CDX 1
HG02166_1 CDX CDX 1
HG02166_2 CDX CDX 1
HG02178_1 CDX CDX 1
HG02178_2 CDX CDX 1
HG02179_1 CDX CDX 1
HG02179_2 CDX CDX 1
HG02180_1 CDX CDX 1
HG02180_2 CDX CDX 1
HG02181_1 CDX CDX 1
HG02181_2 CDX CDX 1
HG02182_1 CDX CDX 1
HG02182_2 CDX CDX 1
HG02184_1 CDX CDX 1
HG02184_2 CDX CDX 1
HG02185_1 CDX CDX 1
HG02185_2 CDX CDX 1
HG02186_1 CDX CDX 1
HG02186_2 CDX CDX 1
HG02187_1 CDX CDX 1
HG02187_2 CDX CDX 1
HG02188_1 CDX CDX 1
HG02188_2 CDX CDX 1
HG02190_1 CDX CDX 1
HG02190_2 CDX CDX 1
HG02215_1 GBR GBR 1
HG02215_2 GBR GBR 1
HG02219_1 IBS IBS 1
HG02219_2 IBS IBS 1
HG02220_1 IBS IBS 1
HG02220_2 IBS IBS 1
HG02221_1 IBS IBS 1
HG02221_2 IBS IBS 1
HG02222_1 IBS IBS 1
HG02222_2 IBS IBS 1
HG02223_1 IBS IBS 1
HG02223_2 IBS IBS 1
HG02224_1 IBS IBS 1
HG02224_2 IBS IBS 1
HG02225_1 IBS IBS 1
HG02225_2 IBS IBS 1
HG02229_1 IBS IBS 1
HG02229_2 IBS IBS 1
HG02230_1 IBS IBS 1
HG02230_2 IBS IBS 1
HG02231_1 IBS IBS 1
HG02231_2 IBS IBS 1
HG02232_1 IBS IBS 1
HG02232_2 IBS IBS 1
HG02233_1 IBS IBS 1
HG02233_2 IBS IBS 1
HG02234_1 IBS IBS 1
HG02234_2 IBS IBS 1
HG02235_1 IBS IBS 1
HG02235_2 IBS IBS 1
HG02236_1 IBS IBS 1
HG02236_2 IBS IBS 1
HG02237_1 IBS IBS 1
HG02237_2 IBS IBS 1
HG02238_1 IBS IBS 1
HG02238_2 IBS IBS 1
HG02239_1 IBS IBS 1
HG02239_2 IBS IBS 1
HG02240_1 IBS IBS 1
HG02240_2 IBS IBS 1
HG02250_1 CDX CDX 1
HG02250_2 CDX CDX 1
HG02252_1 PEL PEL 1
HG02252_2 PEL PEL 1
HG02253_1 PEL PEL 1
HG02253_2 PEL PEL 1
HG02255_1 ACB ACB 1
HG02255_2 ACB ACB 1
HG02256_1 ACB ACB 1
HG02256_2 ACB ACB 1
HG02257_1 ACB ACB 1
HG02257_2 ACB ACB 1
HG02258_1 ACB ACB 1
HG02258_2 ACB ACB 1
HG02259_1 PEL PEL 1
HG02259_2 PEL PEL 1
HG02260_1 PEL PEL 1
HG02260_2 PEL PEL 1
HG02261_1 PEL PEL 1
HG02261_2 PEL PEL 1
HG02262_1 PEL PEL 1
HG02262_2 PEL PEL 1
HG02265_1 PEL PEL 1
HG02265_2 PEL PEL 1
HG02266_1 PEL PEL 1
HG02266_2 PEL PEL 1
HG02271_1 PEL PEL 1
HG02271_2 PEL PEL 1
HG02272_1 PEL PEL 1
HG02272_2 PEL PEL 1
HG02273_1 PEL PEL 1
HG02273_2 PEL PEL 1
HG02274_1 PEL PEL 1
HG02274_2 PEL PEL 1
HG02275_1 PEL PEL 1
HG02275_2 PEL PEL 1
HG02277_1 PEL PEL 1
HG02277_2 PEL PEL 1
HG02278_1 PEL PEL 1
HG02278_2 PEL PEL 1
HG02279_1 PEL PEL 1
HG02279_2 PEL PEL 1
HG02280_1 ACB ACB 1
HG02280_2 ACB ACB 1
HG02281_1 ACB ACB 1
HG02281_2 ACB ACB 1
HG02282_1 ACB ACB 1
HG02282_2 ACB ACB 1
HG02283_1 ACB ACB 1
HG02283_2 ACB ACB 1
HG02284_1 ACB ACB 1
HG02284_2 ACB ACB 1
HG02285_1 PEL PEL 1
HG02285_2 PEL PEL 1
HG02286_1 PEL PEL 1
HG02286_2 PEL PEL 1
HG02287_1 PEL PEL 1
HG02287_2 PEL PEL 1
HG02291_1 PEL PEL 1
HG02291_2 PEL PEL 1
HG02292_1 PEL PEL 1
HG02292_2 PEL PEL 1
HG02293_1 PEL PEL 1
HG02293_2 PEL PEL 1
HG02298_1 PEL PEL 1
HG02298_2 PEL PEL 1
HG02299_1 PEL PEL 1
HG02299_2 PEL PEL 1
HG02300_1 PEL PEL 1
HG02300_2 PEL PEL 1
HG02301_1 PEL PEL 1
HG02301_2 PEL PEL 1
HG02302_1 PEL PEL 1
HG02302_2 PEL PEL 1
HG02303_1 PEL PEL 1
HG02303_2 PEL PEL 1
HG02304_1 PEL PEL 1
HG02304_2 PEL PEL 1
HG02307_1 ACB ACB 1
HG02307_2 ACB ACB 1
HG02308_1 ACB ACB 1
HG02308_2 ACB ACB 1
HG02309_1 ACB ACB 1
HG02309_2 ACB ACB 1
HG02312_1 PEL PEL 1
HG02312_2 PEL PEL 1
HG02314_1 ACB ACB 1
HG02314_2 ACB ACB 1
HG02315_1 ACB ACB 1
HG02315_2 ACB ACB 1
HG02316_1 ACB ACB 1
HG02316_2 ACB ACB 1
HG02317_1 ACB ACB 1
HG02317_2 ACB ACB 1
HG02318_1 ACB ACB 1
HG02318_2 ACB ACB 1
HG02321_1 ACB ACB 1
HG02321_2 ACB ACB 1
HG02322_1 ACB ACB 1
HG02322_2 ACB ACB 1
HG02323_1 ACB ACB 1
HG02323_2 ACB ACB 1
HG02325_1 ACB ACB 1
HG02325_2 ACB ACB 1
HG02330_1 ACB ACB 1
HG02330_2 ACB ACB 1
HG02332_1 ACB ACB 1
HG02332_2 ACB ACB 1
HG02334_1 ACB ACB 1
HG02334_2 ACB ACB 1
HG02337_1 ACB ACB 1
HG02337_2 ACB ACB 1
HG02339_1 ACB ACB 1
HG02339_2 ACB ACB 1
HG02343_1 ACB ACB 1
HG02343_2 ACB ACB 1
HG02345_1 PEL PEL 1
HG02345_2 PEL PEL 1
HG02348_1 PEL PEL 1
HG02348_2 PEL PEL 1
HG02351_1 CDX CDX 1
HG02351_2 CDX CDX 1
HG02353_1 CDX CDX 1
HG02353_2 CDX CDX 1
HG02355_1 CDX CDX 1
HG02355_2 CDX CDX 1
HG02356_1 CDX CDX 1
HG02356_2 CDX CDX 1
HG02360_1 CDX CDX 1
HG02360_2 CDX CDX 1
HG02364_1 CDX CDX 1
HG02364_2 CDX CDX 1
HG02367_1 CDX CDX 1
HG02367_2 CDX CDX 1
HG02371_1 CDX CDX 1
HG02371_2 CDX CDX 1
HG02373_1 CDX CDX 1
HG02373_2 CDX CDX 1
HG02374_1 CDX CDX 1
HG02374_2 CDX CDX 1
HG02375_1 CDX CDX 1
HG02375_2 CDX CDX 1
HG02379_1 CDX CDX 1
HG02379_2 CDX CDX 1
HG02380_1 CDX CDX 1
HG02380_2 CDX CDX 1
HG02382_1 CDX CDX 1
HG02382_2 CDX CDX 1
HG02383_1 CDX CDX 1
HG02383_2 CDX CDX 1
HG02384_1 CDX CDX 1
HG02384_2 CDX CDX 1
HG02385_1 CDX CDX 1
HG02385_2 CDX CDX 1
HG02386_1 CDX CDX 1
HG02386_2 CDX CDX 1
HG02389_1 CDX CDX 1
HG02389_2 CDX CDX 1
HG02390_1 CDX CDX 1
HG02390_2 CDX CDX 1
HG02391_1 CDX CDX 1
HG02391_2 CDX CDX 1
HG02392_1 CDX CDX 1
HG02392_2 CDX CDX 1
HG02394_1 CDX CDX 1
HG02394_2 CDX CDX 1
HG02395_1 CDX CDX 1
HG02395_2 CDX CDX 1
HG02396_1 CDX CDX 1
HG02396_2 CDX CDX 1
HG02397_1 CDX CDX 1
HG02397_2 CDX CDX 1
HG02398_1 CDX CDX 1
HG02398_2 CDX CDX 1
HG02399_1 CDX CDX 1
HG02399_2 CDX CDX 1
HG02401_1 CDX CDX 1
HG02401_2 CDX CDX 1
HG02402_1 CDX CDX 1
HG02402_2 CDX CDX 1
HG02406_1 CDX CDX 1
HG02406_2 CDX CDX 1
HG02407_1 CDX CDX 1
HG02407_2 CDX CDX 1
HG02408_1 CDX CDX 1
HG02408_2 CDX CDX 1
HG02409_1 CDX CDX 1
HG02409_2 CDX CDX 1
HG02410_1 CDX CDX 1
HG02410_2 CDX CDX 1
HG02419_1 ACB ACB 1
HG02419_2 ACB ACB 1
HG02420_1 ACB ACB 1
HG02420_2 ACB ACB 1
HG02425_1 PEL PEL 1
HG02425_2 PEL PEL 1
HG02427_1 ACB ACB 1
HG02427_2 ACB ACB 1
HG02429_1 ACB ACB 1
HG02429_2 ACB ACB 1
HG02433_1 ACB ACB 1
HG02433_2 ACB ACB 1
HG02439_1 ACB ACB 1
HG02439_2 ACB ACB 1
HG02442_1 ACB ACB 1
HG02442_2 ACB ACB 1
HG02445_1 ACB ACB 1
HG02445_2 ACB ACB 1
HG02449_1 ACB ACB 1
HG02449_2 ACB ACB 1
HG02450_1 ACB ACB 1
HG02450_2 ACB ACB 1
HG02451_1 ACB ACB 1
HG02451_2 ACB ACB 1
HG02455_1 ACB ACB 1
HG02455_2 ACB ACB 1
HG02461_1 GWD GWD 1
HG02461_2 GWD GWD 1
HG02462_1 GWD GWD 1
HG02462_2 GWD GWD 1
HG02463_1 GWD GWD 1
HG02463_2 GWD GWD 1
HG02464_1 GWD GWD 1
HG02464_2 GWD GWD 1
HG02465_1 GWD GWD 1
HG02465_2 GWD GWD 1
HG02466_1 GWD GWD 1
HG02466_2 GWD GWD 1
HG02470_1 ACB ACB 1
HG02470_2 ACB ACB 1
HG02471_1 ACB ACB 1
HG02471_2 ACB ACB 1
HG02476_1 ACB ACB 1
HG02476_2 ACB ACB 1
HG02477_1 ACB ACB 1
HG02477_2 ACB ACB 1
HG02479_1 ACB ACB 1
HG02479_2 ACB ACB 1
HG02481_1 ACB ACB 1
HG02481_2 ACB ACB 1
HG02484_1 ACB ACB 1
HG02484_2 ACB ACB 1
HG02485_1 ACB ACB 1
HG02485_2 ACB ACB 1
HG02489_1 ACB ACB 1
HG02489_2 ACB ACB 1
HG02490_1 PJL PJL 1
HG02490_2 PJL PJL 1
HG02491_1 PJL PJL 1
HG02491_2 PJL PJL 1
HG02492_1 PJL PJL 1
HG02492_2 PJL PJL 1
HG02493_1 PJL PJL 1
HG02493_2 PJL PJL 1
HG02494_1 PJL PJL 1
HG02494_2 PJL PJL 1
HG02495_1 PJL PJL 1
HG02495_2 PJL PJL 1
HG02496_1 ACB ACB 1
HG02496_2 ACB ACB 1
HG02497_1 ACB ACB 1
HG02497_2 ACB ACB 1
HG02501_1 ACB ACB 1
HG02501_2 ACB ACB 1
HG02502_1 ACB ACB 1
HG02502_2 ACB ACB 1
HG02505_1 ACB ACB 1
HG02505_2 ACB ACB 1
HG02508_1 ACB ACB 1
HG02508_2 ACB ACB 1
HG02511_1 ACB ACB 1
HG02511_2 ACB ACB 1
HG02512_1 KHV KHV 1
HG02512_2 KHV KHV 1
HG02513_1 KHV KHV 1
HG02513_2 KHV KHV 1
HG02514_1 KHV KHV 1
HG02514_2 KHV KHV 1
HG02521_1 KHV KHV 1
HG02521_2 KHV KHV 1
HG02522_1 KHV KHV 1
HG02522_2 KHV KHV 1
HG02523_1 KHV KHV 1
HG02523_2 KHV KHV 1
HG02524_1 KHV KHV 1
HG02524_2 KHV KHV 1
HG02525_1 KHV KHV 1
HG02525_2 KHV KHV 1
HG02526_1 KHV KHV 1
HG02526_2 KHV KHV 1
HG02536_1 ACB ACB 1
HG02536_2 ACB ACB 1
HG02537_1 ACB ACB 1
HG02537_2 ACB ACB 1
HG02541_1 ACB ACB 1
HG02541_2 ACB ACB 1
HG02545_1 ACB ACB 1
HG02545_2 ACB ACB 1
HG02546_1 ACB ACB 1
HG02546_2 ACB ACB 1
HG02549_1 ACB ACB 1
HG02549_2 ACB ACB 1
HG02554_1 ACB ACB 1
HG02554_2 ACB ACB 1
HG02555_1 ACB ACB 1
HG02555_2 ACB ACB 1
HG02557_1 ACB ACB 1
HG02557_2 ACB ACB 1
HG02558_1 ACB ACB 1
HG02558_2 ACB ACB 1
HG02561_1 GWD GWD 1
HG02561_2 GWD GWD 1
HG02562_1 GWD GWD 1
HG02562_2 GWD GWD 1
HG02563_1 GWD GWD 1
HG02563_2 GWD GWD 1
HG02568_1 GWD GWD 1
HG02568_2 GWD GWD 1
HG02569_1 GWD GWD 1
HG02569_2 GWD GWD 1
HG02570_1 GWD GWD 1
HG02570_2 GWD GWD 1
HG02571_1 GWD GWD 1
HG02571_2 GWD GWD 1
HG02572_1 GWD GWD 1
HG02572_2 GWD GWD 1
HG02573_1 GWD GWD 1
HG02573_2 GWD GWD 1
HG02574_1 GWD GWD 1
HG02574_2 GWD GWD 1
HG02575_1 GWD GWD 1
HG02575_2 GWD GWD 1
HG02577_1 ACB ACB 1
HG02577_2 ACB ACB 1
HG02580_1 ACB ACB 1
HG02580_2 ACB ACB 1
HG02582_1 GWD GWD 1
HG02582_2 GWD GWD 1
HG02583_1 GWD GWD 1
HG02583_2 GWD GWD 1
HG02584_1 GWD GWD 1
HG02584_2 GWD GWD 1
HG02585_1 GWD GWD 1
HG02585_2 GWD GWD 1
HG02586_1 GWD GWD 1
HG02586_2 GWD GWD 1
HG02587_1 GWD GWD 1
HG02587_2 GWD GWD 1
HG02588_1 GWD GWD 1
HG02588_2 GWD GWD 1
HG02589_1 GWD GWD 1
HG02589_2 GWD GWD 1
HG02590_1 GWD GWD 1
HG02590_2 GWD GWD 1
HG02594_1 GWD GWD 1
HG02594_2 GWD GWD 1
HG02595_1 GWD GWD 1
HG02595_2 GWD GWD 1
HG02596_1 GWD GWD 1
HG02596_2 GWD GWD 1
HG02597_1 PJL PJL 1
HG02597_2 PJL PJL 1
HG02600_1 PJL PJL 1
HG02600_2 PJL PJL 1
HG02601_1 PJL PJL 1
HG02601_2 PJL PJL 1
HG02602_1 PJL PJL 1
HG02602_2 PJL PJL 1
HG02603_1 PJL PJL 1
HG02603_2 PJL PJL 1
HG02604_1 PJL PJL 1
HG02604_2 PJL PJL 1
HG02605_1 PJL PJL 1
HG02605_2 PJL PJL 1
HG02610_1 GWD GWD 1
HG02610_2 GWD GWD 1
HG02611_1 GWD GWD 1
HG02611_2 GWD GWD 1
HG02612_1 GWD GWD 1
HG02612_2 GWD GWD 1
HG02613_1 GWD GWD 1
HG02613_2 GWD GWD 1
HG02614_1 GWD GWD 1
HG02614_2 GWD GWD 1
HG02615_1 GWD GWD 1
HG02615_2 GWD GWD 1
HG02620_1 GWD GWD 1
HG02620_2 GWD GWD 1
HG02621_1 GWD GWD 1
HG02621_2 GWD GWD 1
HG02622_1 GWD GWD 1
HG02622_2 GWD GWD 1
HG02623_1 GWD GWD 1
HG02623_2 GWD GWD 1
HG02624_1 GWD GWD 1
HG02624_2 GWD GWD 1
HG02625_1 GWD GWD 1
HG02625_2 GWD GWD 1
HG02628_1 GWD GWD 1
HG02628_2 GWD GWD 1
HG02629_1 GWD GWD 1
HG02629_2 GWD GWD 1
HG02630_1 GWD GWD 1
HG02630_2 GWD GWD 1
HG02634_1 GWD GWD 1
HG02634_2 GWD GWD 1
HG02635_1 GWD GWD 1
HG02635_2 GWD GWD 1
HG02636_1 GWD GWD 1
HG02636_2 GWD GWD 1
HG02642_1 GWD GWD 1
HG02642_2 GWD GWD 1
HG02643_1 GWD GWD 1
HG02643_2 GWD GWD 1
HG02644_1 GWD GWD 1
HG02644_2 GWD GWD 1
HG02645_1 GWD GWD 1
HG02645_2 GWD GWD 1
HG02646_1 GWD GWD 1
HG02646_2 GWD GWD 1
HG02647_1 GWD GWD 1
HG02647_2 GWD GWD 1
HG02648_1 PJL PJL 1
HG02648_2 PJL PJL 1
HG02649_1 PJL PJL 1
HG02649_2 PJL PJL 1
HG02650_1 PJL PJL 1
HG02650_2 PJL PJL 1
HG02651_1 PJL PJL 1
HG02651_2 PJL PJL 1
HG02652_1 PJL PJL 1
HG02652_2 PJL PJL 1
HG02653_1 PJL PJL 1
HG02653_2 PJL PJL 1
